Constellation,X,Y
piscisAustrinus,90.0,164.0
piscisAustrinus,73.0,172.0
piscisAustrinus,55.0,176.0
piscisAustrinus,39.0,182.0
piscisAustrinus,35.0,182.0
piscisAustrinus,33.0,178.0
piscisAustrinus,46.0,169.0
capricornus,94.0,140.0
capricornus,76.0,141.0
capricornus,81.0,138.0
capricornus,90.0,132.0
capricornus,102.0,124.0
capricornus,120.0,98.0
capricornus,122.0,102.0
capricornus,120.0,125.0
capricornus,119.0,131.0
capricornus,94.0,140.0
aquarius,21.0,166.0
aquarius,31.0,156.0
aquarius,34.0,152.0
aquarius,31.0,144.0
aquarius,38.0,132.0
aquarius,41.0,131.0
aquarius,47.0,130.0
aquarius,55.0,125.0
aquarius,76.0,124.0
aquarius,94.0,122.0
delphinus,79.0,83.0
delphinus,76.0,81.0
delphinus,80.0,78.0
delphinus,82.0,80.0
delphinus,87.0,80.0
cygnus,48.0,49.0
cygnus,58.0,49.0
cygnus,58.0,60.0
cygnus,58.0,49.0
cygnus,58.0,36.0
cygnus,58.0,49.0
cygnus,69.0,48.0
cygnus,83.0,45.0
lyra,82.0,26.0
lyra,81.0,30.0
lyra,73.0,20.0
lyra,77.0,23.0
lyra,76.0,27.0
aquila,111.0,83.0
aquila,121.0,57.0
aquila,135.0,53.0
aquila,135.0,50.0
aquila,135.0,53.0
aquila,121.0,57.0
aquila,105.0,48.0
aquila,121.0,57.0
aquila,104.0,61.0
aquila,106.0,64.0
aquila,108.0,71.0
serpens,122.0,41.0
serpens,136.0,23.0
serpens,149.0,11.0
serpens,155.0,-1.0
serpens,160.0,-3.0
serpens,158.0,-20.0
serpens,145.0,-40.0
serpens,133.0,-48.0
serpens,131.0,-50.0
serpens,124.0,-64.0
serpens,114.0,-58.0
serpens,109.0,-61.0
serpens,102.0,-61.0
serpens,98.0,-54.0
serpens,101.0,-49.0
serpens,94.0,-50.0
ophiuchus,158.0,-20.0
ophiuchus,129.0,2.0
ophiuchus,116.0,-1.0
ophiuchus,113.0,-13.0
ophiuchus,118.0,-23.0
ophiuchus,145.0,-41.0
sagittarius,146.0,77.0
sagittarius,154.0,71.0
sagittarius,157.0,69.0
sagittarius,159.0,61.0
sagittarius,168.0,57.0
sagittarius,174.0,62.0
sagittarius,181.0,60.0
sagittarius,193.0,35.0
sagittarius,185.0,21.0
sagittarius,181.0,30.0
sagittarius,193.0,35.0
sagittarius,181.0,30.0
sagittarius,169.0,35.0
sagittarius,173.0,50.0
sagittarius,168.0,57.0
sagittarius,174.0,62.0
sagittarius,181.0,60.0
sagittarius,173.0,50.0
draco,-3.0,-29.0
draco,5.0,-26.0
draco,21.0,-27.0
draco,38.0,-23.0
draco,42.0,-15.0
draco,40.0,-11.0
draco,35.0,-3.0
draco,26.0,3.0
draco,25.0,8.0
draco,21.0,14.0
draco,23.0,20.0
draco,29.0,17.0
draco,49.0,8.0
draco,51.0,2.0
draco,56.0,2.0
draco,56.0,8.0
hercules,62.0,-28.0
hercules,62.0,-22.0
hercules,73.0,-18.0
hercules,86.0,-21.0
hercules,87.0,-15.0
hercules,79.0,-8.0
hercules,79.0,7.0
hercules,68.0,1.0
hercules,97.0,-10.0
hercules,98.0,-30.0
coronaBorealis,82.0,-37.0
coronaBorealis,86.0,-40.0
coronaBorealis,85.0,-44.0
coronaBorealis,83.0,-48.0
coronaBorealis,80.0,-49.0
coronaBorealis,76.0,-48.0
coronaBorealis,74.0,-44.0
bootes,59.0,-87.0
bootes,65.0,-81.0
bootes,78.0,-75.0
bootes,65.0,-81.0
