Constellation,X,Y
piscisAustrinus,390,464
piscisAustrinus,373,472
piscisAustrinus,355,476
piscisAustrinus,339,482
piscisAustrinus,335,482
piscisAustrinus,333,478
piscisAustrinus,346,469
capricornus,394,440
capricornus,376,441
capricornus,381,438
capricornus,390,432
capricornus,402,424
capricornus,420,398
capricornus,422,402
capricornus,420,425
capricornus,419,431
capricornus,394,440
aquarius,321,466
aquarius,331,456
aquarius,334,452
aquarius,331,444
aquarius,338,432
aquarius,341,431
aquarius,347,430
aquarius,355,425
aquarius,376,424
aquarius,394,422
delphinus,379,383
delphinus,376,381
delphinus,380,378
delphinus,382,380
delphinus,387,380
cygnus,348,349
cygnus,358,349
cygnus,358,360
cygnus,358,349
cygnus,358,336
cygnus,358,349
cygnus,369,348
cygnus,383,345
lyra,382,326
lyra,381,330
lyra,373,320
lyra,377,323
lyra,376,327
aquila,411,383
aquila,421,357
aquila,435,353
aquila,435,350
aquila,435,353
aquila,421,357
aquila,405,348
aquila,421,357
aquila,404,361
aquila,406,364
aquila,408,371
serpens,422,341
serpens,436,323
serpens,449,311
serpens,455,299
serpens,460,297
serpens,458,280
serpens,445,260
serpens,433,252
serpens,431,250
serpens,424,236
serpens,414,242
serpens,409,239
serpens,402,239
serpens,398,246
serpens,401,251
serpens,394,250
ophiuchus,458,280
ophiuchus,429,302
ophiuchus,416,299
ophiuchus,413,287
ophiuchus,418,277
ophiuchus,445,259
sagittarius,446,377
sagittarius,454,371
sagittarius,457,369
sagittarius,459,361
sagittarius,468,357
sagittarius,474,362
sagittarius,481,360
sagittarius,493,335
sagittarius,485,321
sagittarius,481,330
sagittarius,493,335
sagittarius,481,330
sagittarius,469,335
sagittarius,473,350
sagittarius,468,357
sagittarius,474,362
sagittarius,481,360
sagittarius,473,350
draco,297,271
draco,305,274
draco,321,273
draco,338,277
draco,342,285
draco,340,289
draco,335,297
draco,326,303
draco,325,308
draco,321,314
draco,323,320
draco,329,317
draco,349,308
draco,351,302
draco,356,302
draco,356,308
hercules,362,272
hercules,362,278
hercules,373,282
hercules,386,279
hercules,398,270
hercules,386,279
hercules,387,285
hercules,397,290
hercules,387,285
hercules,379,292
hercules,373,282
hercules,379,292
hercules,368,301
hercules,379,307
coronaBorealis,382,263
coronaBorealis,386,260
coronaBorealis,385,256
coronaBorealis,383,252
coronaBorealis,380,251
coronaBorealis,376,252
coronaBorealis,374,256
bootes,359,213
bootes,365,219
bootes,378,225
bootes,365,219
bootes,360,236
bootes,353,245
bootes,357,254
bootes,369,251
bootes,368,235
bootes,365,219
scorpius,492,289
scorpius,492,295
scorpius,497,299
scorpius,504,296
scorpius,504,273
scorpius,497,259
scorpius,491,259
scorpius,485,258
scorpius,473,250
scorpius,468,246
scorpius,466,240
scorpius,455,227
scorpius,451,232
scorpius,458,222
libra,436,218
libra,419,214
libra,418,192
libra,435,190
libra,419,214
libra,435,190
libra,454,212
libra,461,212
virgo,304,170
virgo,323,167
virgo,330,169
virgo,340,176
virgo,341,188
virgo,340,176
virgo,364,182
virgo,377,191
virgo,386,197
virgo,377,191
virgo,364,182
virgo,365,165
virgo,394,182
virgo,365,165
virgo,330,169
corvus,338,136
corvus,335,145
corvus,324,143
corvus,321,133
cepheus,310,349
cepheus,314,352
cepheus,316,348
cepheus,305,339
cepheus,297,321
cepheus,313,329
cepheus,322,339
cepheus,316,348
cepheus,322,339
cepheus,327,336
cepheus,328,331
Pyxis,163,169
Pyxis,167,168
Pyxis,176,171
Hydra,214,207
Hydra,207,207
Hydra,204,210
Hydra,206,213
Hydra,211,211
Hydra,214,207
Hydra,219,196
Hydra,229,184
Hydra,216,179
Hydra,225,163
Hydra,240,161
Hydra,245,150
Hydra,262,146
Hydra,269,143
Hydra,277,135
Hydra,293,120
Hydra,308,117
Hydra,371,147
Hydra,405,158
Crater,309,142
Crater,302,139
Crater,287,141
Crater,277,135
Crater,269,143
Crater,283,145
Crater,289,152
Crater,297,152
Corvus,321,134
Corvus,324,142
Corvus,334,144
Corvus,338,135
Corvus,321,134
Leo,249,215
Leo,255,216
Leo,261,210
Leo,260,204
Leo,253,202
